LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
"Sundarbasti, Kathmandu",34500000.0,1129.425,13.0,NORTH-EAST,2.5,4.0,4.0,House,11.0,1,1,1,0,1,1,1,0,0,1,1,11
Other,29000000.0,2087.725,20.0,WEST,2.5,11.0,4.0,House,7.0,1,0,1,1,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",26500000.0,992.525,13.0,SOUTH-WEST,3.5,5.0,4.0,House,7.0,1,1,1,0,1,1,1,0,0,0,1,11
"Nakhipot, Lalitpur",42500000.0,1437.45,16.0,SOUTH-EAST,3.5,7.0,5.0,House,24.0,2,1,1,0,1,1,1,0,0,0,1,11
"Khumaltar, Lalitpur",42000000.0,1437.45,12.0,SOUTH,3.0,6.0,5.0,House,13.0,2,1,1,0,1,1,1,0,0,1,1,11
"Jyotinagar, Kathmandu",29500000.0,1437.45,16.0,NORTH,3.5,5.0,4.0,House,9.0,1,1,1,0,0,1,1,0,0,1,1,11
Other,45000000.0,752.95,27.0,EAST,5.0,7.0,4.0,House,18.0,0,0,1,0,1,1,1,1,0,0,1,11
"Khumaltar, Lalitpur",39000000.0,1471.675,16.0,NORTH,2.5,6.0,4.0,House,13.0,1,1,1,0,1,1,1,0,0,0,1,11
"Dhapasi, Kathmandu",46000000.0,2464.2000000000003,13.0,SOUTH,2.5,4.0,5.0,House,12.0,2,1,1,1,0,1,1,0,0,1,1,11
"Bhangal, Kathmandu",24000000.0,1095.2,13.0,EAST,2.5,6.0,5.0,House,13.0,0,1,0,0,0,0,1,1,1,0,0,11
Other,60000000.0,3490.95,13.0,SOUTH-WEST,3.5,8.0,5.0,House,11.0,2,1,1,1,1,1,1,0,0,1,1,11
"Budhanilkantha, Kathmandu",38500000.0,1437.45,13.0,EAST,3.0,6.0,5.0,House,11.0,0,1,1,0,1,1,1,0,0,0,1,11
"Pasikot, Kathmandu",28000000.0,1369.0,13.0,WEST,2.5,5.0,4.0,House,7.0,1,1,0,0,1,1,1,1,1,1,0,11
"Imadol, Lalitpur",23000000.0,787.175,13.0,NORTH,3.5,3.0,4.0,House,19.0,0,1,1,0,1,1,1,0,0,1,1,11
"Satdobato, Lalitpur",26000000.0,1026.75,20.0,EAST,2.0,5.0,3.0,House,19.0,1,1,1,0,1,1,1,0,0,0,1,11
"Budhanilkantha, Kathmandu",25500000.0,1026.75,12.0,EAST,3.5,5.0,5.0,House,13.0,0,1,1,0,1,1,1,0,0,0,1,11
"Hattigaunda, Kathmandu",33000000.0,1779.7,13.0,EAST,2.5,4.0,4.0,House,13.0,1,1,1,0,0,1,0,1,1,1,1,11
Other,16000000.0,752.95,13.0,WEST,2.5,4.0,4.0,House,13.0,1,1,1,0,1,1,1,0,0,1,1,11
Other,32500000.0,1369.0,13.0,SOUTH,2.5,5.0,4.0,House,18.0,0,0,1,0,1,1,1,0,0,1,1,11
"Pasikot, Kathmandu",39000000.0,1779.7,20.0,EAST,2.5,5.0,6.0,Bungalow,24.0,1,1,0,0,0,0,1,1,1,1,0,11
